DateTime,Entries,UniqueIPs
1575648150,882,1053
1575651750,883,1054
1575655412,884,1055
1575658951,880,1051
1575666151,879,1050
1575669811,877,1048
1575673412,878,1049
1575676951,879,1050
1575680552,876,1050
1575684151,872,1036
1575691351,869,1033
1575695011,870,1034
1575698551,871,1035
1575702152,872,1036
1575712952,871,1035
1575720151,871,1035
1575723752,871,1035
1575727353,873,1037
1575730953,871,1035
1575738213,871,1035
1575741754,871,1035
1575745413,871,1035
1575748952,872,1036
1575752612,873,1037
1575756152,874,1038
1575759813,872,1036
1575763352,871,1035
1575774152,870,1034
1575777752,870,1034
1575781412,870,1034
1575785012,871,1035
1575788552,868,1032
1575795813,866,1030
1575806552,867,1031
1575817413,869,1033
1575820953,869,1034
1575824553,868,1033
1575828213,869,1034
1575831753,869,1034
1575835413,866,1031
1575838953,866,1031
1575846213,863,1028
1575856953,862,1027
1575860613,861,1026
1575864153,862,1027
1575867754,862,1027
1575871353,862,1027
1575875013,861,1026
1575878614,863,1028
1575882213,862,1027
1575885813,863,1028
1575889353,864,1029
1575893014,862,1027
1575896614,860,1025
1575903754,862,1027
1575907355,862,1027
1575910954,863,1028
1575914555,862,1027
1575925354,863,1028
1575928954,862,1027
1575939755,864,1029
1575947014,863,1028
1575954154,863,1028
1575957815,863,1028
1575961354,864,1029
1575964954,863,1028
1575968555,864,1029
1575972155,863,1028
1575979355,864,1029
1575986555,864,1029
1575990155,865,1030
1575997356,863,1028
1576001015,863,1028
1576008215,864,1029
1576011756,864,1029
1576015356,865,1030
1576019016,866,1031
1576026156,867,1032
1576029816,866,1031
1576036955,865,1030
1576038876,867,1032
1576040616,866,1031
1576044156,867,1032
1576047816,868,1033
1576051356,868,1031
1576069417,865,1027
1576076557,862,1024
1576083757,862,1024
1576090958,863,1025
1576094556,861,1023
1576098158,862,1024
1576101757,863,1024
1576105356,863,1024
1576108957,860,1021
1576112557,862,1023
1576116157,863,1024
1576119756,862,1023
1576127018,862,1023
1576130617,861,1022
1576134157,860,1021
1576137817,853,1014
1576144958,855,1016
1576152157,854,1015
1576155757,855,1016
1576159417,854,1015
1576163017,856,1017
1576166558,859,1020
1576170218,858,1019
1576173757,865,1026
1576177357,873,1034
1576181018,874,1035
1576184618,873,1034
1576191758,871,1032
1576195418,870,1031
1576198958,871,1032
1576202558,870,1031
1576209758,869,1030
1576212278,870,1031
1576213358,868,1029
1576216959,872,1033
1576220558,871,1032
1576227820,872,1033
1576231358,871,1032
1576238559,873,1034
1576242218,874,1035
1576245759,875,1036
1576249419,876,1037
1576252959,877,1038
1576256561,878,1039
1576260159,878,1039
1576263760,877,1038
1576267361,878,1039
1576271019,877,1038
1576274559,878,1039
1576278160,880,1041
1576281760,879,1040
1576288960,878,1039
1576292620,877,1038
1576299759,877,1038
1576303359,877,1038
1576314160,875,1036
1576317760,875,1035
1576321359,876,1036
1576324959,875,1035
1576328619,877,1038
1576332220,878,1039
1576335760,880,1041
1576342960,879,1040
1576350160,880,1041
1576357360,877,1038
1576364560,875,1036
1576368160,874,1035
1576371820,875,1036
1576382620,876,1037
1576386221,877,1038
1576389760,877,1038
1576396960,876,1037
1576400560,876,1037
1576404160,877,1038
1576407762,877,1038
1576411421,876,1037
1576418620,879,1040
1576422161,878,1039
1576425821,877,1038
1576429421,878,1039
1576432961,879,1040
1576436561,877,1038
1576440221,880,1041
1576443761,879,1040
1576447421,881,1042
1576451021,882,1043
1576454621,880,1041
1576461761,881,1042
1576469021,881,1042
1576472561,878,1039
1576479761,879,1040
1576483421,881,1042
1576487021,881,1042
1576490561,878,1039
1576494221,877,1037
1576501361,879,1039
1576505022,879,1039
1576508623,879,1039
1576512163,879,1039
1576515762,875,1035
1576522962,875,1035
1576526622,874,1034
1576530163,873,1040
1576533763,872,1039
1576540963,874,1041
1576544562,875,1042
1576551824,872,1039
1576555424,873,1040
1576558962,874,1041
1576562563,873,1040
1576566163,872,1039
1576569763,871,1038
1576573363,869,1036
1576577023,870,1037
1576587763,870,1037
1576595083,868,1035
1576605825,867,1034
1576609424,867,1034
1576612964,866,1033
1576616624,864,1031
1576620163,865,1032
1576623823,867,1035
1576627363,863,1031
1576630964,864,1032
1576634564,863,1031
1576638165,863,1031
1576645365,862,1030
1576649023,862,1030
1576652564,861,1029
1576656224,863,1031
1576659764,865,1034
1576663364,863,1032
1576670565,861,1030
1576674164,860,1029
1576677765,856,1025
1576681364,857,1026
1576685040,856,1025
1576692164,856,1025
1576699364,857,1026
1576702964,858,1027
1576706564,856,1025
1576717366,857,1026
1576720965,856,1025
1576724564,857,1026
1576731764,857,1026
1576738965,858,1027
1576753425,856,1025
1576756966,858,1027
1576760565,858,1027
1576764165,858,1027
1576767766,858,1027
1576771425,860,1029
1576775026,861,1030
1576782286,861,1030
1576793026,862,1031
1576796626,863,1032
1576800227,863,1032
1576803766,864,1033
1576807366,853,1022
1576814567,845,1014
1576818167,846,1015
1576821767,846,1015
1576829027,848,1017
1576839766,847,1016
1576843366,844,1011
1576846966,846,1013
1576850566,844,1011
1576861367,841,1008
1576864966,839,1006
1576872167,840,1007
1576879367,840,1007
1576890168,837,1003
1576893767,839,1005
1576901027,838,1004
1576904567,839,1005
1576911828,844,1010
1576915367,843,1009
1576922628,842,1008
1576933368,837,1003
1576940567,837,1003
1576944167,836,1002
1576947828,838,1004
1576951429,837,1003
1576954968,839,1005
1576962168,840,1006
1576965768,842,1008
1576969368,842,1008
1576972968,842,1008
1576983768,842,1008
1576987428,846,1012
1576990968,844,1010
1576994568,843,1009
1576998168,844,1010
1577005428,844,1009
1577012568,843,1008
1577016168,842,1007
1577019829,841,1006
1577023428,841,1006
1577034169,839,1004
1577037769,839,1004
1577041369,840,1005
1577044969,840,1005
1577048629,842,1007
1577052229,843,1008
1577055769,844,1009
1577062969,845,1011
1577066569,847,1013
1577070169,845,1011
1577073769,846,1012
1577080969,843,1009
1577084569,845,1011
1577088169,847,1013
1577091769,848,1014
1577095369,849,1016
1577096449,850,1017
1577098970,849,1016
1577102569,850,1017
1577106169,850,1017
1577109770,849,1016
1577113370,850,1017
1577116970,849,1016
1577124171,848,1015
1577127770,847,1014
1577134971,843,1010
1577138570,843,1010
1577142171,845,1012
1577145771,843,1010
1577149371,844,1011
1577156570,847,1014
1577160171,846,1013
1577163770,848,1015
1577171031,848,1015
1577174570,849,1016
1577178171,848,1015
1577181772,850,1017
1577185371,849,1016
1577188972,846,1013
1577192571,847,1014
1577199772,849,1016
1577203431,850,1017
1577206971,850,1017
1577210571,853,1020
1577214171,854,1021
1577217832,855,1022
1577221371,856,1023
1577224971,854,1021
1577239432,855,1022
1577242972,857,1024
1577246633,857,1024
1577250171,858,1025
1577253773,859,1026
1577257372,857,1024
1577260971,855,1021
1577264573,856,1022
